Date,Time,Average,Peak
2015-05-22,16:47:33,59.594567,62.658331
2015-05-22,16:47:33,60.755206,60.755206
2015-05-22,16:47:34,58.857827,59.756504
2015-05-22,16:47:34,60.494383,61.248461
2015-05-22,16:47:34,59.594860,61.436446
2015-05-22,16:47:34,59.320322,59.398262
2015-05-22,16:47:34,60.576212,61.195227
2015-05-22,16:47:34,61.017728,61.017728
2015-05-22,16:47:34,58.226695,59.830145
2015-05-22,16:47:34,59.708622,59.708622
2015-05-22,16:47:35,58.567086,60.344348
2015-05-22,16:47:35,58.769443,59.336792
2015-05-22,16:47:35,60.373725,60.674702
2015-05-22,16:47:35,59.149487,59.149487
2015-05-22,16:47:35,58.443473,59.337211
2015-05-22,16:47:35,58.184736,60.632885
2015-05-22,16:47:35,59.319529,60.125175
2015-05-22,16:47:35,59.692922,59.914210
2015-05-22,16:47:35,57.938588,58.365795
2015-05-22,16:47:36,60.178940,60.665724
2015-05-22,16:47:36,58.547999,60.149488
2015-05-22,16:47:36,59.243245,59.413275
2015-05-22,16:47:36,58.951734,59.266994
2015-05-22,16:47:36,58.536865,59.512058
2015-05-22,16:47:36,59.478823,59.898962
2015-05-22,16:47:36,58.932701,61.421680
2015-05-22,16:47:36,57.805089,60.026645
2015-05-22,16:47:37,59.758802,60.042584
2015-05-22,16:47:37,61.722069,62.032108
2015-05-22,16:47:37,59.514951,59.514951
2015-05-22,16:47:37,59.251837,61.038191
2015-05-22,16:47:37,59.200936,59.512293
2015-05-22,16:47:37,62.636396,62.888062
2015-05-22,16:47:37,62.281515,64.088502
2015-05-22,16:47:37,61.414936,63.375651
2015-05-22,16:47:38,60.297955,61.740345
2015-05-22,16:47:38,59.973184,61.559627
2015-05-22,16:47:38,59.732613,60.058037
2015-05-22,16:47:38,60.411054,60.588208
2015-05-22,16:47:38,59.547799,61.388135
2015-05-22,16:47:38,61.263647,62.467961
2015-05-22,16:47:38,59.163409,59.582972
2015-05-22,16:47:38,61.952420,62.210166
2015-05-22,16:47:39,61.198441,61.395594
2015-05-22,16:47:39,59.112541,60.114961
2015-05-22,16:47:39,62.666013,62.723495
2015-05-22,16:47:39,58.774329,61.362299
2015-05-22,16:47:39,58.183482,59.443512
2015-05-22,16:47:39,59.898621,60.144899
2015-05-22,16:47:39,58.094418,58.971526
2015-05-22,16:47:39,58.853617,58.901213
2015-05-22,16:47:40,58.567240,58.854387
2015-05-22,16:47:40,60.622268,60.834888
2015-05-22,16:47:40,60.278303,60.353880
2015-05-22,16:47:40,60.702654,61.573774
2015-05-22,16:47:40,57.363449,59.402982
2015-05-22,16:47:40,60.468633,60.659543
2015-05-22,16:47:40,58.952685,61.179816
2015-05-22,16:47:40,59.538648,59.538648
2015-05-22,16:47:41,62.520707,62.746575
2015-05-22,16:47:41,61.974633,63.322777
2015-05-22,16:47:41,59.162486,62.199221
2015-05-22,16:47:41,61.732398,62.126057
2015-05-22,16:47:41,61.784107,62.242677
2015-05-22,16:47:41,62.647390,62.959785
2015-05-22,16:47:41,62.204006,62.211994
2015-05-22,16:47:41,61.928860,62.457601
2015-05-22,16:47:42,58.976413,61.455858
2015-05-22,16:47:42,60.403149,60.403149
2015-05-22,16:47:42,61.207335,61.474742
2015-05-22,16:47:42,60.230439,61.452981
2015-05-22,16:47:42,57.437319,60.351715
2015-05-22,16:47:42,58.998609,59.198057
2015-05-22,16:47:42,59.363897,59.490591
2015-05-22,16:47:42,60.268892,60.803980
2015-05-22,16:47:43,60.237587,60.369335
2015-05-22,16:47:43,59.194148,61.744534
2015-05-22,16:47:43,58.437019,59.610280
2015-05-22,16:47:43,58.552231,59.642658
2015-05-22,16:47:43,58.772298,60.904419
2015-05-22,16:47:43,60.498841,60.753445
2015-05-22,16:47:43,58.568826,60.584470
2015-05-22,16:47:43,60.436728,60.436728
2015-05-22,16:47:44,60.292659,60.385764
2015-05-22,16:47:44,59.900154,60.563766
2015-05-22,16:47:44,60.542529,60.597714
2015-05-22,16:47:44,59.311520,59.311520
2015-05-22,16:47:44,59.402686,60.111325
2015-05-22,16:47:44,58.832178,60.245959
2015-05-22,16:47:44,60.465956,60.935398
2015-05-22,16:47:44,63.942422,66.282198
2015-05-22,16:47:45,59.322772,59.609120
2015-05-22,16:47:45,60.642420,60.653223
2015-05-22,16:47:45,60.597454,65.684450
2015-05-22,16:47:45,59.400874,59.956443
2015-05-22,16:47:45,56.801056,59.731083
2015-05-22,16:47:45,59.808421,59.811116
2015-05-22,16:47:45,58.785020,59.602821
2015-05-22,16:47:45,59.822891,60.269341
2015-05-22,16:47:46,58.698335,59.119667
2015-05-22,16:47:46,60.433764,60.461919
2015-05-22,16:47:46,58.567551,61.185666
2015-05-22,16:47:46,59.068161,60.765727
2015-05-22,16:47:46,59.460854,60.680170
2015-05-22,16:47:46,60.853658,60.853658
2015-05-22,16:47:46,58.680316,59.797343
2015-05-22,16:47:46,60.162934,60.162934
2015-05-22,16:47:47,58.694532,59.709238
2015-05-22,16:47:47,58.868138,60.342629
2015-05-22,16:47:47,58.579275,60.327145
2015-05-22,16:47:47,58.529946,59.397438
2015-05-22,16:47:47,59.717412,61.832125
2015-05-22,16:47:47,59.008354,59.295927
