Date,Time,Average,Peak
2015:05:20,17:06:37.025,60.027527,60.027527
2015:05:20,17:06:37.062,59.659170,60.027527
2015:05:20,17:06:37.126,58.835282,60.027527
2015:05:20,17:06:37.162,60.539699,60.539699
2015:05:20,17:06:37.226,59.869613,60.539699
2015:05:20,17:06:37.263,75.739679,75.739679
2015:05:20,17:06:37.326,60.061661,76.080010
2015:05:20,17:06:37.362,56.174451,76.080010
2015:05:20,17:06:37.425,57.670978,76.080010
2015:05:20,17:06:37.462,57.072048,76.080010
2015:05:20,17:06:37.526,56.531878,76.080010
2015:05:20,17:06:37.562,54.769318,76.080010
2015:05:20,17:06:37.626,56.562601,76.080010
2015:05:20,17:06:37.663,57.612632,76.080010
2015:05:20,17:06:37.726,54.344323,76.080010
2015:05:20,17:06:37.762,58.848874,76.080010
2015:05:20,17:06:37.826,56.116180,56.931846
2015:05:20,17:06:37.862,56.496812,57.789474
2015:05:20,17:06:37.926,56.471740,57.789474
2015:05:20,17:06:37.962,55.122948,57.789474
2015:05:20,17:06:38.026,54.734676,57.789474
2015:05:20,17:06:38.062,54.570578,57.789474
2015:05:20,17:06:38.126,53.238342,57.789474
2015:05:20,17:06:38.162,53.026056,57.789474
2015:05:20,17:06:38.226,55.658848,57.789474
2015:05:20,17:06:38.262,56.002981,57.789474
2015:05:20,17:06:38.325,54.081953,57.789474
2015:05:20,17:06:38.362,54.523722,57.789474
2015:05:20,17:06:38.426,56.508339,57.789474
2015:05:20,17:06:38.462,55.309876,57.789474
2015:05:20,17:06:38.526,54.610284,57.789474
2015:05:20,17:06:38.562,53.704397,57.789474
2015:05:20,17:06:38.626,55.992609,57.789474
2015:05:20,17:06:38.662,55.348226,57.789474
2015:05:20,17:06:38.726,54.631018,57.789474
2015:05:20,17:06:38.762,54.597296,57.789474
2015:05:20,17:06:38.826,52.258127,57.789474
2015:05:20,17:06:38.863,54.281838,54.297075
2015:05:20,17:06:38.926,54.529948,54.529948
2015:05:20,17:06:38.962,53.525595,54.529948
2015:05:20,17:06:39.026,53.782860,54.690860
2015:05:20,17:06:39.062,53.737706,54.690860
2015:05:20,17:06:39.126,51.805688,54.690860
2015:05:20,17:06:39.162,52.893001,54.690860
