Date,Time,Average,Peak
2015:05:20,17:40:33.312,67.877003,67.877003
2015:05:20,17:40:33.325,65.986526,67.877003
2015:05:20,17:40:33.411,64.773219,67.877003
2015:05:20,17:40:33.426,64.773219,0.000000
2015:05:20,17:40:33.512,65.320617,66.785202
2015:05:20,17:40:33.526,65.320617,66.785202
2015:05:20,17:40:33.612,64.797293,66.785202
2015:05:20,17:40:33.628,67.749276,67.983648
2015:05:20,17:40:33.712,63.460906,67.983648
2015:05:20,17:40:33.726,62.488966,67.983648
2015:05:20,17:40:33.812,63.295340,67.983648
2015:05:20,17:40:33.825,63.295340,67.983648
2015:05:20,17:40:33.911,67.102486,68.029335
2015:05:20,17:40:33.926,66.634316,68.029335
2015:05:20,17:40:34.011,66.519661,68.029335
2015:05:20,17:40:34.026,66.958992,68.029335
2015:05:20,17:40:34.112,64.987245,68.893566
2015:05:20,17:40:34.126,64.987245,68.893566
2015:05:20,17:40:34.211,68.442406,68.893566
2015:05:20,17:40:34.225,67.884059,68.893566
2015:05:20,17:40:34.312,65.665765,69.107370
2015:05:20,17:40:34.325,68.024409,69.107370
2015:05:20,17:40:34.412,65.606745,69.107370
2015:05:20,17:40:34.426,65.606745,69.107370
2015:05:20,17:40:34.511,64.851747,67.739802
2015:05:20,17:40:34.526,67.020320,67.739802
2015:05:20,17:40:34.612,64.988240,67.739802
2015:05:20,17:40:34.626,66.115052,67.739802
2015:05:20,17:40:34.712,63.730115,67.739802
2015:05:20,17:40:34.726,63.730115,67.739802
2015:05:20,17:40:34.811,68.207071,68.306560
2015:05:20,17:40:34.825,68.207071,68.306560
2015:05:20,17:40:34.911,64.866020,69.561621
2015:05:20,17:40:34.926,68.693253,69.561621
2015:05:20,17:40:35.012,66.538807,69.695364
2015:05:20,17:40:35.026,66.931667,69.695364
2015:05:20,17:40:35.112,67.461865,69.695364
2015:05:20,17:40:35.126,67.461865,69.695364
2015:05:20,17:40:35.211,68.816283,69.695364
2015:05:20,17:40:35.226,71.100754,71.326843
2015:05:20,17:40:35.312,68.276523,73.017575
2015:05:20,17:40:35.325,66.273865,73.017575
2015:05:20,17:40:35.412,66.275860,73.017575
2015:05:20,17:40:35.426,66.275860,73.017575
2015:05:20,17:40:35.511,68.272989,73.017575
2015:05:20,17:40:35.526,70.810572,70.810572
2015:05:20,17:40:35.612,67.276458,74.656294
2015:05:20,17:40:35.625,68.617403,74.656294
2015:05:20,17:40:35.712,66.097106,74.656294
2015:05:20,17:40:35.726,66.097106,74.656294
2015:05:20,17:40:35.811,66.100063,74.656294
2015:05:20,17:40:35.825,66.100063,74.656294
2015:05:20,17:40:35.911,67.251767,74.656294
2015:05:20,17:40:35.926,65.588574,74.656294
2015:05:20,17:40:36.011,64.325428,74.656294
2015:05:20,17:40:36.026,65.414049,74.656294
2015:05:20,17:40:36.111,63.040227,74.656294
2015:05:20,17:40:36.126,63.040227,74.656294
2015:05:20,17:40:36.211,62.362724,74.656294
2015:05:20,17:40:36.226,69.130350,74.656294
2015:05:20,17:40:36.312,64.939288,74.656294
2015:05:20,17:40:36.325,65.058557,74.656294
2015:05:20,17:40:36.412,64.098862,74.656294
2015:05:20,17:40:36.426,64.098862,74.656294
2015:05:20,17:40:36.511,64.197470,74.656294
2015:05:20,17:40:36.526,63.485795,74.656294
2015:05:20,17:40:36.612,62.980069,65.577209
2015:05:20,17:40:36.625,64.227801,65.577209
2015:05:20,17:40:36.712,66.439830,66.686600
2015:05:20,17:40:36.726,66.439830,66.686600
2015:05:20,17:40:36.811,66.716508,67.926461
2015:05:20,17:40:36.826,63.747694,67.926461
2015:05:20,17:40:36.912,66.912510,67.926461
2015:05:20,17:40:36.925,67.918643,67.926461
2015:05:20,17:40:37.012,68.528798,68.630886
2015:05:20,17:40:37.026,68.528798,68.630886
2015:05:20,17:40:37.111,67.985442,68.630886
2015:05:20,17:40:37.125,67.985442,68.630886
2015:05:20,17:40:37.211,69.123493,69.786922
2015:05:20,17:40:37.226,68.611713,69.786922
2015:05:20,17:40:37.311,68.338456,70.005766
2015:05:20,17:40:37.325,70.629997,70.831683
2015:05:20,17:40:37.412,71.031187,72.026239
2015:05:20,17:40:37.425,71.031187,72.026239
2015:05:20,17:40:37.511,69.397368,73.339702
2015:05:20,17:40:37.526,68.359446,73.339702
2015:05:20,17:40:37.612,68.251214,73.339702
2015:05:20,17:40:37.625,66.938003,66.938003
2015:05:20,17:40:37.712,67.636322,71.372922
2015:05:20,17:40:37.726,67.636322,71.372922
2015:05:20,17:40:37.812,71.253886,71.372922
2015:05:20,17:40:37.825,68.326921,71.372922
2015:05:20,17:40:37.912,65.929698,71.372922
2015:05:20,17:40:37.926,66.004363,71.372922
2015:05:20,17:40:38.012,67.284857,71.372922
2015:05:20,17:40:38.025,67.284857,71.372922
2015:05:20,17:40:38.112,69.268100,71.372922
2015:05:20,17:40:38.125,70.364199,71.372922
2015:05:20,17:40:38.212,71.001527,71.372922
2015:05:20,17:40:38.225,69.772894,71.372922
2015:05:20,17:40:38.312,66.962874,71.372922
2015:05:20,17:40:38.325,66.962874,71.372922
2015:05:20,17:40:38.411,68.186574,71.372922
2015:05:20,17:40:38.426,68.186574,71.372922
2015:05:20,17:40:38.511,67.319696,71.372922
2015:05:20,17:40:38.525,68.893321,71.372922
2015:05:20,17:40:38.612,65.745097,71.372922
2015:05:20,17:40:38.625,66.998673,71.372922
2015:05:20,17:40:38.712,67.174072,67.254475
2015:05:20,17:40:38.725,67.174072,67.254475
2015:05:20,17:40:38.811,63.422393,67.254475
2015:05:20,17:40:38.825,61.316707,67.254475
2015:05:20,17:40:38.912,68.419131,68.971235
2015:05:20,17:40:38.925,66.445265,68.971235
2015:05:20,17:40:39.011,64.328860,69.038224
2015:05:20,17:40:39.025,64.328860,69.038224
2015:05:20,17:40:39.111,63.175059,69.038224
2015:05:20,17:40:39.125,63.069404,69.038224
2015:05:20,17:40:39.212,64.632230,69.038224
2015:05:20,17:40:39.225,62.454028,69.038224
2015:05:20,17:40:39.312,64.656315,70.380264
2015:05:20,17:40:39.325,64.656315,70.380264
2015:05:20,17:40:39.412,67.200341,70.380264
2015:05:20,17:40:39.425,65.982779,70.380264
2015:05:20,17:40:39.512,67.983317,70.380264
2015:05:20,17:40:39.525,64.779800,70.380264
2015:05:20,17:40:39.612,66.983491,70.380264
2015:05:20,17:40:39.625,66.983491,70.380264
2015:05:20,17:40:39.711,68.595950,70.380264
2015:05:20,17:40:39.725,68.595950,0.000000
2015:05:20,17:40:39.812,64.385469,66.453800
2015:05:20,17:40:39.826,66.067533,66.453800
2015:05:20,17:40:39.912,66.158658,66.506472
2015:05:20,17:40:39.925,67.536644,67.710773
2015:05:20,17:40:40.012,67.339866,68.627695
2015:05:20,17:40:40.025,67.339866,68.627695
2015:05:20,17:40:40.112,66.900916,69.067253
2015:05:20,17:40:40.125,68.001973,69.067253
2015:05:20,17:40:40.212,67.170192,69.067253
2015:05:20,17:40:40.225,70.403824,70.491516
2015:05:20,17:40:40.312,66.147873,70.491516
2015:05:20,17:40:40.326,66.147873,70.491516
2015:05:20,17:40:40.412,67.979211,71.332158
2015:05:20,17:40:40.425,67.872070,71.332158
2015:05:20,17:40:40.512,69.170077,71.332158
2015:05:20,17:40:40.525,68.556900,71.332158
2015:05:20,17:40:40.612,67.777445,71.332158
2015:05:20,17:40:40.625,67.777445,71.332158
2015:05:20,17:40:40.712,66.599776,71.332158
2015:05:20,17:40:40.725,66.599776,71.332158
2015:05:20,17:40:40.812,66.642681,66.642681
2015:05:20,17:40:40.825,63.905634,66.642681
2015:05:20,17:40:40.911,63.850481,66.642681
2015:05:20,17:40:40.925,63.850481,66.642681
2015:05:20,17:40:41.012,64.649437,66.642681
2015:05:20,17:40:41.025,64.649437,66.642681
2015:05:20,17:40:41.112,61.439737,66.642681
2015:05:20,17:40:41.125,66.424048,66.642681
2015:05:20,17:40:41.212,70.724788,70.724788
2015:05:20,17:40:41.225,69.700694,70.724788
2015:05:20,17:40:41.312,70.231230,70.724788
2015:05:20,17:40:41.326,70.231230,70.724788
2015:05:20,17:40:41.411,63.379991,70.724788
