Date,Time,Average,Peak
2015:05:20,10:42:36.005,55.407661,58.076497
2015:05:20,10:42:36.028,57.946050,58.076497
2015:05:20,10:42:36.105,57.619545,59.245187
2015:05:20,10:42:36.128,58.559273,59.245187
2015:05:20,10:42:36.205,56.756308,59.245187
2015:05:20,10:42:36.228,55.564771,59.245187
2015:05:20,10:42:36.304,58.618828,59.245187
2015:05:20,10:42:36.327,60.040839,60.331234
2015:05:20,10:42:36.405,58.875585,60.331234
2015:05:20,10:42:36.428,59.054190,60.331234
2015:05:20,10:42:36.505,56.495022,60.331234
2015:05:20,10:42:36.528,55.404372,60.331234
2015:05:20,10:42:36.605,56.811490,60.331234
2015:05:20,10:42:36.628,57.388806,60.331234
2015:05:20,10:42:36.706,57.046296,57.771458
2015:05:20,10:42:36.728,53.633517,57.771458
2015:05:20,10:42:36.805,56.408473,57.771458
2015:05:20,10:42:36.828,55.771932,57.771458
2015:05:20,10:42:36.905,58.491920,58.491920
2015:05:20,10:42:36.928,56.565704,58.491920
2015:05:20,10:42:37.005,55.611128,58.491920
2015:05:20,10:42:37.028,55.746598,58.491920
2015:05:20,10:42:37.105,55.114040,58.491920
2015:05:20,10:42:37.128,56.916762,58.491920
2015:05:20,10:42:37.205,57.144083,58.491920
2015:05:20,10:42:37.228,54.752268,58.491920
2015:05:20,10:42:37.305,56.927900,58.491920
2015:05:20,10:42:37.328,57.847021,58.491920
2015:05:20,10:42:37.405,54.953259,58.491920
2015:05:20,10:42:37.428,56.219062,58.491920
2015:05:20,10:42:37.505,57.522339,58.491920
2015:05:20,10:42:37.528,57.102473,58.491920
2015:05:20,10:42:37.605,56.058834,58.491920
2015:05:20,10:42:37.628,56.058834,58.491920
2015:05:20,10:42:37.704,55.816083,58.491920
2015:05:20,10:42:37.728,58.952194,58.969953
2015:05:20,10:42:37.805,60.262568,60.264403
2015:05:20,10:42:37.828,57.486814,60.264403
2015:05:20,10:42:37.905,58.215876,60.264403
2015:05:20,10:42:37.928,57.275382,60.264403
2015:05:20,10:42:38.005,59.240379,60.264403
2015:05:20,10:42:38.028,57.453328,60.264403
2015:05:20,10:42:38.105,54.733976,60.264403
2015:05:20,10:42:38.128,58.678455,60.264403
2015:05:20,10:42:38.205,57.666040,60.264403
2015:05:20,10:42:38.228,57.316189,60.264403
2015:05:20,10:42:38.305,57.917668,60.264403
2015:05:20,10:42:38.328,56.319333,60.264403
2015:05:20,10:42:38.405,57.446480,60.264403
2015:05:20,10:42:38.428,55.819052,60.264403
2015:05:20,10:42:38.505,55.025372,60.264403
2015:05:20,10:42:38.528,56.448160,60.264403
2015:05:20,10:42:38.605,54.943971,60.264403
2015:05:20,10:42:38.628,58.909886,60.264403
2015:05:20,10:42:38.705,56.695119,60.264403
2015:05:20,10:42:38.728,58.047365,60.264403
2015:05:20,10:42:38.805,56.553124,60.138267
2015:05:20,10:42:38.828,58.169282,60.138267
2015:05:20,10:42:38.905,58.762220,60.468236
2015:05:20,10:42:38.928,60.530746,60.643792
2015:05:20,10:42:39.005,59.220847,60.672353
2015:05:20,10:42:39.027,59.713648,60.672353
2015:05:20,10:42:39.105,61.735303,61.748919
2015:05:20,10:42:39.128,58.324065,61.748919
2015:05:20,10:42:39.205,58.558574,61.748919
2015:05:20,10:42:39.228,58.241085,61.748919
2015:05:20,10:42:39.305,61.489627,61.925686
2015:05:20,10:42:39.328,60.213710,61.925686
2015:05:20,10:42:39.405,58.891224,61.925686
2015:05:20,10:42:39.428,62.504300,62.579576
2015:05:20,10:42:39.505,61.205491,62.579576
2015:05:20,10:42:39.527,59.140321,62.579576
2015:05:20,10:42:39.605,62.787885,62.795979
2015:05:20,10:42:39.628,61.710996,62.795979
2015:05:20,10:42:39.705,63.959217,64.814082
2015:05:20,10:42:39.727,63.287841,64.814082
2015:05:20,10:42:39.805,62.664547,64.814082
2015:05:20,10:42:39.828,64.318688,64.369976
2015:05:20,10:42:39.905,65.987774,66.056836
2015:05:20,10:42:39.928,65.987774,66.056836
2015:05:20,10:42:40.005,65.986551,67.057064
2015:05:20,10:42:40.028,67.258644,67.335325
2015:05:20,10:42:40.104,67.214848,67.335325
2015:05:20,10:42:40.127,65.143372,67.335325
2015:05:20,10:42:40.205,65.895948,67.335325
2015:05:20,10:42:40.228,65.936206,67.335325
2015:05:20,10:42:40.304,63.983511,67.546851
2015:05:20,10:42:40.328,64.930814,67.546851
2015:05:20,10:42:40.405,64.085811,67.546851
2015:05:20,10:42:40.428,65.645274,67.546851
2015:05:20,10:42:40.505,65.876627,67.546851
2015:05:20,10:42:40.527,64.153227,67.546851
2015:05:20,10:42:40.605,67.798510,69.193657
2015:05:20,10:42:40.628,67.680166,69.193657
2015:05:20,10:42:40.705,67.891947,69.193657
2015:05:20,10:42:40.729,70.239430,70.379139
2015:05:20,10:42:40.805,69.816732,70.379139
2015:05:20,10:42:40.828,69.192148,70.379139
2015:05:20,10:42:40.905,67.730255,71.765801
2015:05:20,10:42:40.928,71.809365,71.904571
2015:05:20,10:42:41.005,70.254696,72.409985
2015:05:20,10:42:41.027,70.221868,72.409985
2015:05:20,10:42:41.105,68.400848,72.956369
2015:05:20,10:42:41.128,70.087597,72.956369
2015:05:20,10:42:41.206,70.596164,72.956369
2015:05:20,10:42:41.229,69.194280,72.956369
2015:05:20,10:42:41.305,69.328398,72.956369
