Date,Time,Average,Peak
2015-05-22,16:26:34,43.462543,45.080248
2015-05-22,16:26:35,41.026146,45.490682
2015-05-22,16:26:35,42.390063,43.991454
2015-05-22,16:26:35,41.676993,43.395804
2015-05-22,16:26:35,44.452242,45.369671
2015-05-22,16:26:35,45.642877,45.722156
2015-05-22,16:26:35,45.099544,45.668887
2015-05-22,16:26:35,47.501128,47.618003
2015-05-22,16:26:35,47.521527,48.076541
2015-05-22,16:26:35,46.557521,46.628156
2015-05-22,16:26:36,46.848814,46.848814
2015-05-22,16:26:36,47.321702,47.442083
2015-05-22,16:26:36,48.435957,48.449923
2015-05-22,16:26:36,43.555104,46.300402
2015-05-22,16:26:36,40.489860,41.340950
2015-05-22,16:26:36,41.163575,43.276396
2015-05-22,16:26:36,39.098948,44.891001
2015-05-22,16:26:36,42.945006,44.397426
2015-05-22,16:26:37,42.267489,43.087553
2015-05-22,16:26:37,41.495331,45.766135
2015-05-22,16:26:37,43.080604,43.201710
2015-05-22,16:26:37,44.416256,44.902307
2015-05-22,16:26:37,44.348051,44.352979
2015-05-22,16:26:37,42.606329,44.306788
2015-05-22,16:26:37,41.919296,47.290894
2015-05-22,16:26:37,43.746675,44.992082
2015-05-22,16:26:37,42.858759,46.300990
2015-05-22,16:26:38,43.595242,44.603759
2015-05-22,16:26:38,45.049590,45.326654
2015-05-22,16:26:38,40.315189,46.821903
2015-05-22,16:26:38,44.258239,44.812666
2015-05-22,16:26:38,44.707168,46.264750
2015-05-22,16:26:38,46.276395,46.438011
2015-05-22,16:26:38,45.853852,47.550830
2015-05-22,16:26:39,47.550811,49.181650
2015-05-22,16:26:39,49.254495,49.478742
2015-05-22,16:26:39,46.113767,47.893894
2015-05-22,16:26:39,47.997873,48.340919
2015-05-22,16:26:39,50.037842,50.303443
2015-05-22,16:26:39,50.484144,50.534071
2015-05-22,16:26:39,47.549744,52.781341
2015-05-22,16:26:39,52.093589,52.105780
2015-05-22,16:26:39,50.036773,50.037065
2015-05-22,16:26:40,49.565732,54.612036
2015-05-22,16:26:40,51.273987,52.284297
2015-05-22,16:26:40,49.904620,51.505634
2015-05-22,16:26:40,51.240778,51.240778
2015-05-22,16:26:40,50.124891,50.627623
2015-05-22,16:26:40,50.842236,50.876135
2015-05-22,16:26:40,49.852125,51.604192
2015-05-22,16:26:40,49.765414,50.700343
2015-05-22,16:26:41,48.083513,51.230376
2015-05-22,16:26:41,49.713101,49.713101
2015-05-22,16:26:41,48.839554,48.947352
2015-05-22,16:26:41,49.063415,49.299829
2015-05-22,16:26:41,47.003874,51.017326
2015-05-22,16:26:41,46.588180,46.588180
2015-05-22,16:26:41,44.236885,47.844659
2015-05-22,16:26:41,46.052713,46.242872
2015-05-22,16:26:42,44.419895,46.520608
2015-05-22,16:26:42,44.099279,44.377027
2015-05-22,16:26:42,42.535270,44.690097
2015-05-22,16:26:42,37.262140,42.133165
2015-05-22,16:26:42,35.625220,36.175847
2015-05-22,16:26:42,44.420073,44.460482
2015-05-22,16:26:42,42.081925,44.851286
2015-05-22,16:26:42,46.189387,46.271680
2015-05-22,16:26:43,44.883106,48.099591
2015-05-22,16:26:43,40.168224,43.742437
2015-05-22,16:26:43,43.772925,44.024624
2015-05-22,16:26:43,37.385756,42.765549
2015-05-22,16:26:43,39.958036,43.205167
2015-05-22,16:26:43,37.108667,40.796478
2015-05-22,16:26:43,36.830379,39.142584
2015-05-22,16:26:44,40.280969,40.354801
2015-05-22,16:26:44,38.594489,40.820982
2015-05-22,16:26:44,50.489717,50.532133
2015-05-22,16:26:44,42.017278,49.343635
2015-05-22,16:26:44,42.635899,42.705275
2015-05-22,16:26:44,44.493741,44.617461
2015-05-22,16:26:44,39.559045,42.478034
2015-05-22,16:26:44,41.213745,41.391569
2015-05-22,16:26:45,39.918677,39.964951
2015-05-22,16:26:45,38.563429,41.219452
2015-05-22,16:26:45,37.446171,37.980161
2015-05-22,16:26:45,39.229249,39.229249
2015-05-22,16:26:45,41.566520,42.509294
2015-05-22,16:26:45,38.312882,44.087288
2015-05-22,16:26:45,37.228770,40.619657
2015-05-22,16:26:45,35.769056,42.297829
2015-05-22,16:26:45,42.643885,42.793579
2015-05-22,16:26:46,34.947664,41.955249
2015-05-22,16:26:46,35.860942,39.788239
2015-05-22,16:26:46,38.392472,38.392472
2015-05-22,16:26:46,44.097270,44.131955
2015-05-22,16:26:46,45.117650,48.560704
2015-05-22,16:26:46,43.804990,44.677673
2015-05-22,16:26:46,38.323366,39.071412
2015-05-22,16:26:46,43.454243,43.454526
2015-05-22,16:26:47,38.680437,39.701658
2015-05-22,16:26:47,41.491010,41.491010
2015-05-22,16:26:47,45.263639,45.343919
2015-05-22,16:26:47,47.595110,47.609904
2015-05-22,16:26:47,47.156837,49.150982
2015-05-22,16:26:47,43.954661,44.254439
2015-05-22,16:26:47,43.611873,44.924932
2015-05-22,16:26:47,44.751762,44.751762
2015-05-22,16:26:48,38.540221,41.372079
2015-05-22,16:26:48,37.833226,39.431522
2015-05-22,16:26:48,37.762038,39.622086
2015-05-22,16:26:48,38.691878,38.781443
2015-05-22,16:26:48,39.287508,40.269145
2015-05-22,16:26:48,50.377045,50.632612
