Date,Time,Average,Peak
2015:05:20,11:10:36.098,70.209998,70.209998
2015:05:20,11:10:36.173,66.643772,70.209998
2015:05:20,11:10:36.198,66.799146,70.209998
2015:05:20,11:10:36.273,68.850351,70.209998
2015:05:20,11:10:36.297,68.253783,70.209998
2015:05:20,11:10:36.373,65.132739,70.209998
2015:05:20,11:10:36.397,66.995820,70.209998
2015:05:20,11:10:36.473,69.131986,70.209998
2015:05:20,11:10:36.498,67.830369,70.209998
2015:05:20,11:10:36.572,66.868266,70.319889
2015:05:20,11:10:36.598,66.807460,70.319889
2015:05:20,11:10:36.673,66.930739,70.319889
2015:05:20,11:10:36.697,68.779418,70.319889
2015:05:20,11:10:36.773,68.328723,70.319889
2015:05:20,11:10:36.798,68.418549,70.319889
2015:05:20,11:10:36.873,67.266821,70.319889
2015:05:20,11:10:36.897,69.323199,70.319889
2015:05:20,11:10:36.972,68.389239,70.319889
2015:05:20,11:10:36.998,67.941065,70.319889
2015:05:20,11:10:37.073,67.017067,68.194623
2015:05:20,11:10:37.098,69.522935,69.635821
2015:05:20,11:10:37.173,68.782488,70.145226
2015:05:20,11:10:37.198,66.246945,70.145226
2015:05:20,11:10:37.274,70.483804,70.483804
2015:05:20,11:10:37.298,69.384180,70.483804
2015:05:20,11:10:37.372,70.970371,70.995192
2015:05:20,11:10:37.397,66.316476,70.995192
2015:05:20,11:10:37.473,69.064085,70.995192
2015:05:20,11:10:37.498,68.829434,70.995192
2015:05:20,11:10:37.573,71.556903,71.556903
2015:05:20,11:10:37.598,72.020420,72.055498
2015:05:20,11:10:37.673,69.921370,72.305306
2015:05:20,11:10:37.698,70.114448,72.305306
2015:05:20,11:10:37.773,72.338421,72.357109
2015:05:20,11:10:37.798,75.282699,75.282699
2015:05:20,11:10:37.873,75.472645,76.234390
2015:05:20,11:10:37.898,74.399825,76.234390
2015:05:20,11:10:37.973,73.622298,76.234390
2015:05:20,11:10:37.998,72.907770,76.234390
2015:05:20,11:10:38.072,73.991066,76.234390
2015:05:20,11:10:38.098,70.941672,70.991198
2015:05:20,11:10:38.173,69.495418,71.746178
2015:05:20,11:10:38.198,68.508734,71.746178
2015:05:20,11:10:38.273,69.876889,71.746178
2015:05:20,11:10:38.298,72.555754,72.555754
2015:05:20,11:10:38.373,69.406336,72.555754
2015:05:20,11:10:38.397,69.001146,72.555754
2015:05:20,11:10:38.473,69.892902,72.555754
2015:05:20,11:10:38.498,71.050639,72.555754
2015:05:20,11:10:38.572,69.498681,72.555754
2015:05:20,11:10:38.598,67.380370,72.555754
2015:05:20,11:10:38.673,70.185684,72.555754
2015:05:20,11:10:38.698,66.592588,72.555754
2015:05:20,11:10:38.772,70.078751,72.555754
2015:05:20,11:10:38.798,70.632236,72.555754
2015:05:20,11:10:38.873,69.376092,72.555754
2015:05:20,11:10:38.897,66.348573,72.555754
2015:05:20,11:10:38.973,68.087004,72.555754
2015:05:20,11:10:38.998,69.193427,72.555754
2015:05:20,11:10:39.073,67.956743,72.555754
2015:05:20,11:10:39.098,68.272355,72.555754
2015:05:20,11:10:39.173,68.355295,69.935719
2015:05:20,11:10:39.198,67.873251,69.935719
2015:05:20,11:10:39.272,69.842834,69.935719
2015:05:20,11:10:39.298,69.535518,69.935719
2015:05:20,11:10:39.373,70.359053,70.359053
2015:05:20,11:10:39.397,70.840933,70.840933
2015:05:20,11:10:39.472,70.790910,70.840933
2015:05:20,11:10:39.498,69.032012,70.840933
2015:05:20,11:10:39.571,71.017333,71.017333
2015:05:20,11:10:39.598,70.300441,71.017333
2015:05:20,11:10:39.673,69.267097,71.017333
2015:05:20,11:10:39.698,69.246999,71.017333
2015:05:20,11:10:39.772,71.748905,71.763904
2015:05:20,11:10:39.798,70.100231,71.763904
2015:05:20,11:10:39.875,69.477042,71.763904
2015:05:20,11:10:39.897,69.829059,71.763904
2015:05:20,11:10:39.973,69.433978,71.763904
2015:05:20,11:10:39.998,68.165187,71.763904
2015:05:20,11:10:40.073,68.128405,71.763904
2015:05:20,11:10:40.098,70.393138,71.763904
2015:05:20,11:10:40.172,67.943791,71.763904
2015:05:20,11:10:40.198,68.135332,68.135332
2015:05:20,11:10:40.273,70.233718,70.365125
2015:05:20,11:10:40.298,67.690763,70.365125
2015:05:20,11:10:40.373,71.554520,71.554520
2015:05:20,11:10:40.397,69.180268,71.554520
2015:05:20,11:10:40.473,70.143552,71.554520
2015:05:20,11:10:40.498,69.175066,71.554520
2015:05:20,11:10:40.573,69.194097,71.554520
2015:05:20,11:10:40.598,69.360383,71.554520
2015:05:20,11:10:40.672,67.739235,72.014330
2015:05:20,11:10:40.698,69.765952,72.014330
2015:05:20,11:10:40.773,70.543458,72.279663
2015:05:20,11:10:40.798,70.007338,72.279663
2015:05:20,11:10:40.872,70.481735,72.279663
2015:05:20,11:10:40.897,72.590712,72.713980
2015:05:20,11:10:40.973,70.172957,72.713980
2015:05:20,11:10:40.998,68.587198,72.713980
2015:05:20,11:10:41.073,70.218861,72.713980
2015:05:20,11:10:41.097,67.572613,72.713980
2015:05:20,11:10:41.172,70.022742,72.713980
2015:05:20,11:10:41.197,69.098242,72.713980
2015:05:20,11:10:41.272,69.086082,72.160957
2015:05:20,11:10:41.298,66.667309,72.160957
2015:05:20,11:10:41.373,68.893264,72.160957
2015:05:20,11:10:41.398,70.649857,72.160957
2015:05:20,11:10:41.472,68.391538,72.160957
2015:05:20,11:10:41.498,69.389345,72.160957
2015:05:20,11:10:41.572,70.264687,72.160957
2015:05:20,11:10:41.598,67.499411,72.160957
2015:05:20,11:10:41.672,70.516966,72.160957
2015:05:20,11:10:41.698,69.482355,72.160957
2015:05:20,11:10:41.772,69.103053,72.160957
2015:05:20,11:10:41.797,67.617767,72.160957
2015:05:20,11:10:41.873,68.352585,72.160957
2015:05:20,11:10:41.898,67.517250,72.160957
2015:05:20,11:10:41.973,67.699592,72.160957
2015:05:20,11:10:41.998,69.038393,72.160957
2015:05:20,11:10:42.072,67.467427,72.160957
2015:05:20,11:10:42.098,68.668484,72.160957
2015:05:20,11:10:42.174,68.807398,72.160957
2015:05:20,11:10:42.198,69.406195,72.160957
2015:05:20,11:10:42.273,69.570276,72.160957
2015:05:20,11:10:42.298,70.176926,70.176926
2015:05:20,11:10:42.373,68.106022,70.176926
2015:05:20,11:10:42.398,70.079764,70.176926
2015:05:20,11:10:42.473,67.234783,71.355210
2015:05:20,11:10:42.498,67.609960,71.355210
2015:05:20,11:10:42.573,67.641058,71.355210
2015:05:20,11:10:42.598,71.216427,71.355210
2015:05:20,11:10:42.673,67.244534,71.355210
2015:05:20,11:10:42.698,70.818712,71.355210
2015:05:20,11:10:42.773,68.474562,71.355210
2015:05:20,11:10:42.798,69.823215,71.355210
2015:05:20,11:10:42.873,69.588534,71.355210
2015:05:20,11:10:42.898,67.697375,71.355210
2015:05:20,11:10:42.973,67.973612,71.355210
2015:05:20,11:10:42.998,66.665901,71.355210
2015:05:20,11:10:43.073,68.619480,71.355210
2015:05:20,11:10:43.098,68.086012,71.355210
2015:05:20,11:10:43.173,69.706557,71.355210
2015:05:20,11:10:43.198,69.651363,71.355210
2015:05:20,11:10:43.273,68.106975,71.355210
2015:05:20,11:10:43.297,68.322032,71.355210
2015:05:20,11:10:43.373,67.854866,69.408861
2015:05:20,11:10:43.398,65.797008,69.408861
2015:05:20,11:10:43.472,70.122897,70.351261
2015:05:20,11:10:43.498,70.381373,70.405257
2015:05:20,11:10:43.573,68.574447,70.405257
2015:05:20,11:10:43.598,68.036494,70.405257
2015:05:20,11:10:43.672,67.352528,70.405257
2015:05:20,11:10:43.698,67.270250,70.405257
2015:05:20,11:10:43.772,67.400123,70.405257
2015:05:20,11:10:43.798,69.946770,70.405257
2015:05:20,11:10:43.873,69.136202,70.405257
2015:05:20,11:10:43.898,68.800446,70.405257
2015:05:20,11:10:43.973,69.108779,70.405257
