Date,Time,Average,Peak
2015:05:20,17:28:33.625,68.022001,70.074571
2015:05:20,17:28:33.665,66.897946,70.074571
2015:05:20,17:28:33.726,69.114074,70.226663
2015:05:20,17:28:33.765,68.817391,70.226663
2015:05:20,17:28:33.825,66.606700,70.711583
2015:05:20,17:28:33.865,64.860125,70.711583
2015:05:20,17:28:33.926,67.493223,70.711583
2015:05:20,17:28:33.965,68.148448,70.711583
2015:05:20,17:28:34.025,70.886616,70.886616
2015:05:20,17:28:34.065,68.621785,68.848343
2015:05:20,17:28:34.126,67.352957,68.848343
2015:05:20,17:28:34.164,69.301103,69.885786
2015:05:20,17:28:34.226,66.195635,69.885786
2015:05:20,17:28:34.265,67.565127,69.885786
2015:05:20,17:28:34.325,66.050311,69.885786
2015:05:20,17:28:34.365,66.620938,69.885786
2015:05:20,17:28:34.426,66.074174,69.885786
2015:05:20,17:28:34.465,66.932876,69.885786
2015:05:20,17:28:34.526,65.486499,69.885786
2015:05:20,17:28:34.565,65.138987,69.885786
2015:05:20,17:28:34.625,69.014190,69.885786
2015:05:20,17:28:34.664,68.459215,69.885786
2015:05:20,17:28:34.726,67.637137,69.885786
2015:05:20,17:28:34.765,66.766867,69.885786
2015:05:20,17:28:34.826,68.665962,69.885786
2015:05:20,17:28:34.865,65.654588,69.885786
2015:05:20,17:28:34.925,65.936733,69.885786
2015:05:20,17:28:34.965,64.497879,69.885786
2015:05:20,17:28:35.026,67.105526,69.885786
2015:05:20,17:28:35.065,63.308844,69.885786
2015:05:20,17:28:35.126,65.330339,66.581291
2015:05:20,17:28:35.164,64.807473,66.581291
2015:05:20,17:28:35.226,66.355950,66.581291
2015:05:20,17:28:35.290,66.265245,66.581291
2015:05:20,17:28:35.331,67.099359,67.140125
2015:05:20,17:28:35.365,64.672349,67.140125
2015:05:20,17:28:35.425,66.052939,67.200123
2015:05:20,17:28:35.465,68.594930,68.594930
2015:05:20,17:28:35.526,66.461925,68.594930
2015:05:20,17:28:35.565,64.943045,68.594930
2015:05:20,17:28:35.626,65.050695,68.594930
2015:05:20,17:28:35.664,64.848519,68.594930
2015:05:20,17:28:35.726,64.607969,68.594930
2015:05:20,17:28:35.764,64.472976,68.594930
2015:05:20,17:28:35.826,65.353501,68.594930
2015:05:20,17:28:35.865,64.502592,68.594930
2015:05:20,17:28:35.926,65.557939,68.594930
2015:05:20,17:28:35.965,65.585945,68.594930
2015:05:20,17:28:36.026,64.872107,68.594930
2015:05:20,17:28:36.065,63.663989,68.594930
2015:05:20,17:28:36.126,64.102062,68.594930
2015:05:20,17:28:36.164,64.121676,64.121676
2015:05:20,17:28:36.226,65.820147,65.820147
2015:05:20,17:28:36.265,64.039229,65.820147
2015:05:20,17:28:36.326,65.622845,65.820147
2015:05:20,17:28:36.365,63.653322,65.820147
2015:05:20,17:28:36.426,64.522758,66.084151
2015:05:20,17:28:36.465,65.075500,66.084151
2015:05:20,17:28:36.526,66.166171,66.355240
2015:05:20,17:28:36.564,63.213356,66.355240
2015:05:20,17:28:36.626,64.011739,66.355240
2015:05:20,17:28:36.664,63.082777,66.355240
2015:05:20,17:28:36.726,64.439770,66.355240
2015:05:20,17:28:36.764,66.225767,66.875157
2015:05:20,17:28:36.826,63.704759,66.875157
2015:05:20,17:28:36.865,66.497219,66.875157
2015:05:20,17:28:36.926,66.198011,66.875157
2015:05:20,17:28:36.965,64.237180,66.875157
2015:05:20,17:28:37.026,64.058142,66.875157
2015:05:20,17:28:37.064,65.405941,66.875157
2015:05:20,17:28:37.126,65.001972,66.875157
2015:05:20,17:28:37.164,64.466017,66.875157
2015:05:20,17:28:37.226,65.444942,65.496661
2015:05:20,17:28:37.265,64.614841,65.496661
2015:05:20,17:28:37.326,65.479631,65.514962
2015:05:20,17:28:37.373,64.556951,67.215901
2015:05:20,17:28:37.426,64.222888,67.215901
2015:05:20,17:28:37.465,65.018110,67.215901
2015:05:20,17:28:37.526,64.465334,67.215901
2015:05:20,17:28:37.565,66.837327,67.215901
2015:05:20,17:28:37.626,67.117132,67.289579
2015:05:20,17:28:37.664,65.763065,67.289579
2015:05:20,17:28:37.726,65.118249,67.628742
2015:05:20,17:28:37.765,65.484392,67.628742
2015:05:20,17:28:37.826,64.941542,67.628742
2015:05:20,17:28:37.865,67.353993,67.628742
2015:05:20,17:28:37.926,67.926833,68.057460
2015:05:20,17:28:37.965,66.330500,68.057460
2015:05:20,17:28:38.026,64.757922,68.057460
2015:05:20,17:28:38.065,67.832504,68.057460
2015:05:20,17:28:38.126,63.272450,68.057460
2015:05:20,17:28:38.164,63.441659,68.057460
2015:05:20,17:28:38.226,63.387516,68.057460
2015:05:20,17:28:38.265,65.133821,67.457156
2015:05:20,17:28:38.326,65.291660,67.457156
2015:05:20,17:28:38.364,63.008711,67.457156
2015:05:20,17:28:38.426,66.148691,67.457156
2015:05:20,17:28:38.465,64.232839,67.457156
2015:05:20,17:28:38.526,65.652308,67.457156
2015:05:20,17:28:38.564,64.208803,67.457156
2015:05:20,17:28:38.626,63.955737,67.457156
2015:05:20,17:28:38.664,65.088228,67.457156
2015:05:20,17:28:38.726,63.129791,67.457156
2015:05:20,17:28:38.765,64.407784,67.457156
2015:05:20,17:28:38.826,62.681540,67.457156
2015:05:20,17:28:38.864,65.170831,67.457156
2015:05:20,17:28:38.926,62.884665,67.457156
2015:05:20,17:28:38.965,64.834371,67.457156
2015:05:20,17:28:39.026,64.208166,67.457156
2015:05:20,17:28:39.065,64.539259,67.457156
2015:05:20,17:28:39.126,62.777565,67.457156
2015:05:20,17:28:39.164,62.597087,67.457156
2015:05:20,17:28:39.226,62.416072,67.457156
2015:05:20,17:28:39.265,64.215305,67.457156
2015:05:20,17:28:39.326,63.798411,63.885442
2015:05:20,17:28:39.365,63.252978,63.885442
2015:05:20,17:28:39.425,63.338834,63.885442
2015:05:20,17:28:39.464,63.891167,63.920791
2015:05:20,17:28:39.526,60.759581,63.920791
2015:05:20,17:28:39.565,60.724791,64.842750
2015:05:20,17:28:39.626,62.813084,64.842750
2015:05:20,17:28:39.664,60.046143,64.842750
2015:05:20,17:28:39.726,63.790061,64.842750
2015:05:20,17:28:39.765,63.634083,64.842750
2015:05:20,17:28:39.826,62.439803,64.842750
2015:05:20,17:28:39.865,61.478413,64.842750
2015:05:20,17:28:39.926,61.341971,64.842750
2015:05:20,17:28:39.965,61.331591,64.842750
2015:05:20,17:28:40.026,63.133027,64.842750
2015:05:20,17:28:40.065,63.475878,64.842750
2015:05:20,17:28:40.125,62.612434,68.808352
2015:05:20,17:28:40.164,64.254801,68.808352
2015:05:20,17:28:40.225,62.377659,68.808352
2015:05:20,17:28:40.265,59.988089,68.808352
2015:05:20,17:28:40.325,62.631699,68.808352
2015:05:20,17:28:40.365,60.287059,60.287059
2015:05:20,17:28:40.425,64.385912,64.395950
2015:05:20,17:28:40.465,59.908788,64.395950
2015:05:20,17:28:40.526,63.005085,64.395950
2015:05:20,17:28:40.565,60.875515,64.395950
2015:05:20,17:28:40.625,61.834403,64.395950
2015:05:20,17:28:40.665,61.893092,64.395950
2015:05:20,17:28:40.725,62.009929,64.395950
2015:05:20,17:28:40.765,60.399945,64.395950
2015:05:20,17:28:40.825,58.195772,64.395950
2015:05:20,17:28:40.865,62.762646,64.395950
