Date,Time,Average,Peak
2015:05:20,10:59:35.298,64.301763,64.498644
2015:05:20,10:59:35.371,66.050983,66.050983
2015:05:20,10:59:35.398,62.571139,66.050983
2015:05:20,10:59:35.471,64.022320,66.050983
2015:05:20,10:59:35.498,63.153336,66.050983
2015:05:20,10:59:35.571,64.239799,67.250073
2015:05:20,10:59:35.598,66.216258,66.220407
2015:05:20,10:59:35.671,64.954555,66.220407
2015:05:20,10:59:35.698,65.714485,66.220407
2015:05:20,10:59:35.771,65.888552,66.843870
2015:05:20,10:59:35.798,64.680754,66.843870
2015:05:20,10:59:35.871,64.384931,66.843870
2015:05:20,10:59:35.898,65.993108,66.843870
2015:05:20,10:59:35.971,67.486341,68.468267
2015:05:20,10:59:35.998,65.229834,68.468267
2015:05:20,10:59:36.070,65.380416,68.468267
2015:05:20,10:59:36.097,65.188206,68.468267
2015:05:20,10:59:36.171,67.753164,68.468267
2015:05:20,10:59:36.198,65.191447,68.468267
2015:05:20,10:59:36.271,64.316763,68.468267
2015:05:20,10:59:36.298,65.147733,68.468267
2015:05:20,10:59:36.371,67.227479,68.468267
2015:05:20,10:59:36.398,66.418975,68.468267
2015:05:20,10:59:36.471,66.361660,68.468267
2015:05:20,10:59:36.498,63.105264,68.468267
2015:05:20,10:59:36.571,64.141059,68.468267
2015:05:20,10:59:36.598,65.231094,68.468267
2015:05:20,10:59:36.671,65.303769,68.289997
2015:05:20,10:59:36.698,65.503977,68.289997
2015:05:20,10:59:36.771,66.790117,68.322761
2015:05:20,10:59:36.798,65.557487,68.322761
2015:05:20,10:59:36.871,65.078600,68.322761
2015:05:20,10:59:36.898,66.859301,68.322761
2015:05:20,10:59:36.971,65.924360,68.322761
2015:05:20,10:59:36.998,66.777828,68.322761
2015:05:20,10:59:37.071,65.971934,68.322761
2015:05:20,10:59:37.097,64.368097,68.322761
2015:05:20,10:59:37.171,64.841724,68.322761
2015:05:20,10:59:37.198,65.831885,68.322761
2015:05:20,10:59:37.271,68.837624,68.837624
2015:05:20,10:59:37.298,65.733893,68.837624
2015:05:20,10:59:37.371,67.238195,68.837624
2015:05:20,10:59:37.398,64.133418,68.837624
2015:05:20,10:59:37.471,63.731273,68.837624
2015:05:20,10:59:37.497,64.546953,68.837624
