Date,Time,Average,Peak
2015-05-22,16:38:33,63.907717,64.280647
2015-05-22,16:38:33,64.300334,65.208992
2015-05-22,16:38:33,63.954500,64.687053
2015-05-22,16:38:33,63.021625,63.165401
2015-05-22,16:38:33,63.404127,63.850228
2015-05-22,16:38:33,63.259685,65.027135
2015-05-22,16:38:34,62.984392,64.069030
2015-05-22,16:38:34,63.967017,63.999791
2015-05-22,16:38:34,61.930512,64.355512
2015-05-22,16:38:34,62.364674,65.296659
2015-05-22,16:38:34,62.905913,64.238841
2015-05-22,16:38:34,63.912481,63.972284
2015-05-22,16:38:34,64.331192,64.737191
2015-05-22,16:38:34,62.473329,65.196548
2015-05-22,16:38:35,64.565266,65.251539
2015-05-22,16:38:35,64.788453,65.437642
2015-05-22,16:38:35,63.343339,64.131269
2015-05-22,16:38:35,64.095771,64.212216
2015-05-22,16:38:35,62.343563,64.960757
2015-05-22,16:38:35,61.739273,65.496961
2015-05-22,16:38:35,64.041095,64.631485
2015-05-22,16:38:35,64.052327,64.139725
2015-05-22,16:38:35,64.554814,65.325379
2015-05-22,16:38:36,62.188834,65.362026
2015-05-22,16:38:36,63.864102,63.864102
2015-05-22,16:38:36,64.700759,64.938566
2015-05-22,16:38:36,61.980455,64.641602
2015-05-22,16:38:36,64.454485,64.608935
2015-05-22,16:38:36,63.365335,65.083959
2015-05-22,16:38:36,63.419074,64.905936
2015-05-22,16:38:36,64.708264,65.003399
2015-05-22,16:38:37,64.416295,64.716176
2015-05-22,16:38:37,63.924179,64.609681
2015-05-22,16:38:37,63.407206,65.592518
2015-05-22,16:38:37,64.222816,64.812843
2015-05-22,16:38:37,63.366507,63.836672
2015-05-22,16:38:37,63.792465,64.579176
2015-05-22,16:38:37,63.567021,64.034825
2015-05-22,16:38:37,64.824973,65.109964
2015-05-22,16:38:38,63.848857,64.392468
2015-05-22,16:38:38,63.037435,65.297939
2015-05-22,16:38:38,64.639631,64.639631
2015-05-22,16:38:38,64.948819,64.956742
2015-05-22,16:38:38,64.000514,66.095880
2015-05-22,16:38:38,62.897438,64.002000
2015-05-22,16:38:38,62.486703,64.256645
2015-05-22,16:38:38,63.486039,65.008775
2015-05-22,16:38:38,65.234138,65.234138
2015-05-22,16:38:39,64.789585,64.846591
2015-05-22,16:38:39,63.424292,64.703541
2015-05-22,16:38:39,63.889643,64.456538
2015-05-22,16:38:39,63.604093,64.000525
2015-05-22,16:38:39,63.494743,64.297519
2015-05-22,16:38:39,62.787864,64.187774
2015-05-22,16:38:39,62.916377,64.766967
2015-05-22,16:38:39,63.735925,64.555460
2015-05-22,16:38:40,62.171521,65.174837
2015-05-22,16:38:40,62.489561,65.096222
2015-05-22,16:38:40,63.407444,64.356590
2015-05-22,16:38:40,63.467960,63.710844
2015-05-22,16:38:40,65.324958,65.324958
2015-05-22,16:38:40,62.928254,65.131410
2015-05-22,16:38:40,64.818984,65.098644
2015-05-22,16:38:40,63.136550,64.802385
2015-05-22,16:38:41,64.177396,64.773959
2015-05-22,16:38:41,62.869485,63.041236
2015-05-22,16:38:41,65.007847,65.746983
2015-05-22,16:38:41,63.617026,64.812182
2015-05-22,16:38:41,63.664497,64.945071
2015-05-22,16:38:41,62.456341,64.246457
2015-05-22,16:38:41,63.457757,64.792241
2015-05-22,16:38:41,64.154999,65.194862
2015-05-22,16:38:42,63.256430,63.575589
2015-05-22,16:38:42,62.840854,63.384997
2015-05-22,16:38:42,65.000300,65.000300
2015-05-22,16:38:42,62.966130,64.578838
2015-05-22,16:38:42,63.715988,64.643631
2015-05-22,16:38:42,63.773589,64.096856
2015-05-22,16:38:42,62.740840,64.709493
2015-05-22,16:38:42,63.137623,64.273282
2015-05-22,16:38:43,63.017223,64.783887
2015-05-22,16:38:43,63.566043,64.786608
2015-05-22,16:38:43,64.102953,64.711234
2015-05-22,16:38:43,63.831253,64.309381
2015-05-22,16:38:43,62.331152,65.651711
2015-05-22,16:38:43,64.637029,64.807391
2015-05-22,16:38:43,64.877048,64.877048
2015-05-22,16:38:43,62.800527,63.222206
2015-05-22,16:38:44,62.370691,64.386151
2015-05-22,16:38:44,64.281634,64.403805
2015-05-22,16:38:44,63.401745,64.135825
2015-05-22,16:38:44,64.458033,64.665284
2015-05-22,16:38:44,64.535013,64.535013
2015-05-22,16:38:44,65.419649,65.497319
2015-05-22,16:38:44,64.530258,64.768982
2015-05-22,16:38:44,62.917663,64.238638
2015-05-22,16:38:45,62.809835,64.993934
2015-05-22,16:38:45,62.412542,63.658022
2015-05-22,16:38:45,64.132191,65.812779
2015-05-22,16:38:45,62.419919,64.469762
2015-05-22,16:38:45,65.801259,65.859292
2015-05-22,16:38:45,63.426117,63.894849
2015-05-22,16:38:45,64.385816,64.385816
2015-05-22,16:38:45,63.250541,64.740181
2015-05-22,16:38:46,62.888255,63.657896
2015-05-22,16:38:46,64.244040,64.854842
2015-05-22,16:38:46,63.659802,65.091384
2015-05-22,16:38:46,63.086168,63.667487
2015-05-22,16:38:46,63.219816,63.921274
2015-05-22,16:38:46,63.848811,64.446150
2015-05-22,16:38:46,62.377199,64.276258
2015-05-22,16:38:46,65.415029,65.491876
2015-05-22,16:38:47,64.268942,64.922929
2015-05-22,16:38:47,62.472180,64.100022
2015-05-22,16:38:47,64.136805,65.250693
2015-05-22,16:38:47,64.505469,64.607487
2015-05-22,16:38:47,63.893568,64.288034
2015-05-22,16:38:47,62.252138,64.765506
2015-05-22,16:38:47,64.335332,64.386425
2015-05-22,16:38:47,62.980432,64.071357
2015-05-22,16:38:47,62.957008,64.716310
2015-05-22,16:38:48,64.535795,65.149051
2015-05-22,16:38:48,63.808723,64.589811
2015-05-22,16:38:48,63.912569,64.210241
2015-05-22,16:38:48,64.617145,66.242154
2015-05-22,16:38:48,63.540864,66.380063
2015-05-22,16:38:48,65.020664,65.190837
2015-05-22,16:38:48,64.908175,65.190639
2015-05-22,16:38:48,63.823540,65.997101
2015-05-22,16:38:49,64.801849,65.042711
2015-05-22,16:38:49,69.192986,69.192986
2015-05-22,16:38:49,69.209572,69.209572
2015-05-22,16:38:49,64.591585,66.828540
2015-05-22,16:38:49,69.485835,69.706839
2015-05-22,16:38:49,69.159920,70.105591
2015-05-22,16:38:49,70.157487,71.273363
2015-05-22,16:38:49,69.077680,70.955736
2015-05-22,16:38:50,73.489198,73.930267
2015-05-22,16:38:50,73.617950,73.822582
2015-05-22,16:38:50,74.539620,74.794758
2015-05-22,16:38:50,75.143402,75.588402
2015-05-22,16:38:50,74.610150,75.207246
2015-05-22,16:38:50,76.240368,76.432815
2015-05-22,16:38:50,77.716578,77.807605
2015-05-22,16:38:50,76.529067,76.572108
2015-05-22,16:38:51,75.946493,77.252585
2015-05-22,16:38:51,76.888658,77.508883
2015-05-22,16:38:51,76.914219,76.984411
2015-05-22,16:38:51,76.501919,76.919458
2015-05-22,16:38:51,76.290732,76.591989
2015-05-22,16:38:51,76.267540,76.573300
2015-05-22,16:38:51,77.047402,78.152651
2015-05-22,16:38:51,75.723365,77.902812
2015-05-22,16:38:52,77.019024,77.638927
2015-05-22,16:38:52,77.578046,77.877718
2015-05-22,16:38:52,77.744835,77.834531
2015-05-22,16:38:52,78.461078,79.082607
2015-05-22,16:38:52,78.092309,79.297385
2015-05-22,16:38:52,77.115186,78.735407
2015-05-22,16:38:52,78.233181,78.590424
2015-05-22,16:38:52,78.041821,79.230420
2015-05-22,16:38:53,78.487401,78.831498
2015-05-22,16:38:53,77.401427,78.536688
2015-05-22,16:38:53,77.395511,77.534266
2015-05-22,16:38:53,78.824412,79.433957
2015-05-22,16:38:53,77.795394,79.537594
2015-05-22,16:38:53,75.609873,75.985569
2015-05-22,16:38:53,77.572327,78.587297
2015-05-22,16:38:53,77.370307,77.374254
2015-05-22,16:38:54,78.290192,78.290192
2015-05-22,16:38:54,79.199781,79.252628
2015-05-22,16:38:54,79.192589,79.578991
2015-05-22,16:38:54,76.592934,78.894383
2015-05-22,16:38:54,75.485514,76.846450
2015-05-22,16:38:54,73.561348,74.292658
2015-05-22,16:38:54,70.662090,72.716864
2015-05-22,16:38:54,75.952088,75.953049
2015-05-22,16:38:55,76.897437,79.440821
2015-05-22,16:38:55,75.093641,75.123854
2015-05-22,16:38:55,73.229171,76.050574
2015-05-22,16:38:55,72.460932,75.076305
2015-05-22,16:38:55,69.878093,70.609591
2015-05-22,16:38:55,69.698737,71.435850
2015-05-22,16:38:55,65.143052,69.184773
2015-05-22,16:38:55,65.667858,66.940158
2015-05-22,16:38:56,66.619234,66.833703
2015-05-22,16:38:56,64.136768,64.665000
2015-05-22,16:38:56,63.899232,64.442345
2015-05-22,16:38:56,59.772969,64.870861
2015-05-22,16:38:56,61.792354,62.553372
2015-05-22,16:38:56,60.746072,61.701865
2015-05-22,16:38:56,58.504625,61.474242
2015-05-22,16:38:56,61.317363,61.614516
2015-05-22,16:38:56,58.478195,61.358333
2015-05-22,16:38:57,61.701080,62.327324
2015-05-22,16:38:57,60.376589,60.604542
2015-05-22,16:38:57,58.589458,60.035891
2015-05-22,16:38:57,58.834369,58.837034
2015-05-22,16:38:57,59.610605,59.775436
2015-05-22,16:38:57,57.758956,58.181266
2015-05-22,16:38:57,59.401077,59.613334
2015-05-22,16:38:57,60.867034,60.869749
2015-05-22,16:38:58,58.804308,58.807988
2015-05-22,16:38:58,61.976359,62.509575
2015-05-22,16:38:58,64.972269,65.361680
2015-05-22,16:38:58,64.088029,64.825932
2015-05-22,16:38:58,64.873106,64.998497
2015-05-22,16:38:58,65.058418,65.738861
2015-05-22,16:38:58,65.645522,66.279822
2015-05-22,16:38:58,65.563714,66.376811
2015-05-22,16:38:59,66.440244,66.787135
2015-05-22,16:38:59,64.532369,66.106756
2015-05-22,16:38:59,65.560853,65.792289
2015-05-22,16:38:59,65.473069,66.430183
2015-05-22,16:38:59,63.176669,66.298455
2015-05-22,16:38:59,58.097413,62.645545
2015-05-22,16:38:59,57.386055,59.464998
2015-05-22,16:39:00,55.525504,58.624907
2015-05-22,16:39:00,56.693504,57.231579
2015-05-22,16:39:00,55.075308,56.422346
2015-05-22,16:39:00,58.879487,58.884052
2015-05-22,16:39:00,55.713243,57.668012
2015-05-22,16:39:00,56.499432,56.634471
2015-05-22,16:39:00,55.801783,56.170950
2015-05-22,16:39:00,57.763110,57.763110
2015-05-22,16:39:01,56.214460,56.463351
2015-05-22,16:39:01,56.026256,57.668291
2015-05-22,16:39:01,52.891543,54.024797
2015-05-22,16:39:01,56.835537,56.971912
2015-05-22,16:39:01,56.144203,56.209829
2015-05-22,16:39:01,57.004787,57.004787
2015-05-22,16:39:01,55.958186,56.034913
2015-05-22,16:39:01,55.031273,55.840882
2015-05-22,16:39:01,58.961136,58.990382
2015-05-22,16:39:02,60.674953,60.739790
2015-05-22,16:39:02,58.422310,60.320995
2015-05-22,16:39:02,58.030069,58.929483
2015-05-22,16:39:02,58.137858,58.186445
2015-05-22,16:39:02,56.629621,57.251671
2015-05-22,16:39:02,57.036119,57.227925
2015-05-22,16:39:02,57.536090,58.259366
2015-05-22,16:39:02,58.239032,58.716618
2015-05-22,16:39:03,59.198530,59.441296
2015-05-22,16:39:03,58.496518,58.838014
2015-05-22,16:39:03,58.355360,58.476921
2015-05-22,16:39:03,58.122167,58.780858
2015-05-22,16:39:03,57.458334,58.351744
2015-05-22,16:39:03,57.008079,57.055191
2015-05-22,16:39:03,58.961825,59.510241
2015-05-22,16:39:03,57.923974,58.206876
2015-05-22,16:39:04,59.521541,59.521541
2015-05-22,16:39:04,58.451615,58.857717
2015-05-22,16:39:04,59.067746,59.426065
2015-05-22,16:39:04,59.520361,59.527666
2015-05-22,16:39:04,59.414757,60.704546
2015-05-22,16:39:04,59.618497,59.912789
2015-05-22,16:39:04,59.983754,60.143679
2015-05-22,16:39:04,60.661862,60.661862
2015-05-22,16:39:04,62.195549,62.271168
2015-05-22,16:39:05,63.284173,63.442771
2015-05-22,16:39:05,63.693775,64.622265
2015-05-22,16:39:05,65.581782,65.624459
2015-05-22,16:39:05,63.344050,64.004736
2015-05-22,16:39:05,64.008688,64.644915
2015-05-22,16:39:05,61.942173,65.012253
2015-05-22,16:39:05,62.441763,63.744402
2015-05-22,16:39:06,61.577623,62.963598
2015-05-22,16:39:06,62.044885,63.791576
2015-05-22,16:39:06,63.070592,63.204155
2015-05-22,16:39:06,63.269689,63.722190
2015-05-22,16:39:06,64.266679,64.282748
2015-05-22,16:39:06,64.491367,66.034071
2015-05-22,16:39:06,64.040624,64.391375
2015-05-22,16:39:06,61.477896,64.279465
2015-05-22,16:39:06,63.202324,63.242159
2015-05-22,16:39:07,64.969299,65.092653
2015-05-22,16:39:07,64.273199,64.897347
2015-05-22,16:39:07,64.089528,64.403178
2015-05-22,16:39:07,65.072865,65.333654
