Date,Time,Average,Peak
2015:05:20,17:18:32.621,74.012249,75.105359
2015:05:20,17:18:32.627,74.012249,75.105359
2015:05:20,17:18:32.720,74.467631,75.105359
2015:05:20,17:18:32.725,74.467631,75.105359
2015:05:20,17:18:32.821,73.357164,75.657663
2015:05:20,17:18:32.825,73.357164,75.657663
2015:05:20,17:18:32.920,74.617519,75.657663
2015:05:20,17:18:32.925,74.617519,75.657663
2015:05:20,17:18:33.021,74.385396,76.029015
2015:05:20,17:18:33.025,74.385396,76.029015
2015:05:20,17:18:33.120,74.572001,76.029015
2015:05:20,17:18:33.125,74.572001,76.029015
2015:05:20,17:18:33.221,74.815821,76.029015
2015:05:20,17:18:33.225,74.190260,76.029015
2015:05:20,17:18:33.320,72.358082,76.029015
2015:05:20,17:18:33.325,72.358082,76.029015
2015:05:20,17:18:33.420,71.916787,74.101597
2015:05:20,17:18:33.425,71.916787,74.101597
2015:05:20,17:18:33.520,72.583716,74.101597
2015:05:20,17:18:33.525,73.339700,74.101597
2015:05:20,17:18:33.620,73.592376,74.242495
2015:05:20,17:18:33.625,73.592376,74.242495
2015:05:20,17:18:33.721,72.047130,74.242495
2015:05:20,17:18:33.725,72.047130,74.242495
2015:05:20,17:18:33.820,73.225190,74.242495
2015:05:20,17:18:33.825,73.126176,74.242495
2015:05:20,17:18:33.920,72.933936,74.242495
2015:05:20,17:18:33.925,72.933936,74.242495
2015:05:20,17:18:34.021,74.536419,76.157452
2015:05:20,17:18:34.025,74.536419,76.157452
2015:05:20,17:18:34.120,72.643247,76.157452
2015:05:20,17:18:34.125,72.643247,76.157452
2015:05:20,17:18:34.220,74.389292,76.157452
2015:05:20,17:18:34.225,74.389292,76.157452
2015:05:20,17:18:34.321,66.064294,76.157452
2015:05:20,17:18:34.325,66.064294,76.157452
2015:05:20,17:18:34.420,65.867775,76.157452
2015:05:20,17:18:34.425,65.867775,0.000000
2015:05:20,17:18:34.520,66.810375,67.479105
2015:05:20,17:18:34.526,66.518192,67.479105
2015:05:20,17:18:34.620,66.928037,67.479105
2015:05:20,17:18:34.625,66.928037,67.479105
2015:05:20,17:18:34.720,65.232023,67.479105
2015:05:20,17:18:34.725,65.232023,67.479105
2015:05:20,17:18:34.820,65.211942,67.479105
2015:05:20,17:18:34.825,64.682087,67.479105
2015:05:20,17:18:34.920,65.662961,67.479105
2015:05:20,17:18:34.925,65.662961,67.479105
2015:05:20,17:18:35.020,65.095372,67.479105
2015:05:20,17:18:35.025,65.095372,67.479105
2015:05:20,17:18:35.120,65.704870,67.479105
2015:05:20,17:18:35.126,64.275549,67.479105
2015:05:20,17:18:35.220,65.603020,67.479105
